name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Steve Wozniak,1950-08-11,,American,Co-founded Apple with Steve Jobs; engineered Apple I and II computers. Technical genius behind early personal computing revolution.,North America,Science,
Paul Allen,1953-01-21,2018-10-15,American,"Co-founded Microsoft with Bill Gates; funded research in AI, science, and space. Philanthropist and sports team owner.",North America,Economy,
Andy Grove,1936-09-02,2016-03-21,Hungarian-American,"Led Intel through microprocessor revolution; author of ""Only the Paranoid Survive."" Transformed Intel into industry leader.",North America,Economy,
Larry Ellison,1944-08-17,,American,"Founded Oracle Corporation, pioneered relational database software. Among world's wealthiest individuals, competitive sailor.",North America,Economy,
Reed Hastings,1960-10-08,,American,"Co-founded Netflix, transforming from DVD rental to streaming giant that revolutionized entertainment industry and viewing habits globally.",North America,Economy,
Michael Bloomberg,1942-02-14,,American,"Founded Bloomberg L.P., financial data empire. Served as New York City mayor, major philanthropist, and presidential candidate.",North America,Economy,
Warren Buffett,1930-08-30,,American,"Legendary investor known as Oracle of Omaha. Chairman of Berkshire Hathaway, one of world's wealthiest people, major philanthropist.",North America,Economy,
George Soros,1930-08-12,,Hungarian-American,"Investor and philanthropist who ""broke the Bank of England."" Major donor to liberal and pro-democracy causes worldwide, controversial figure.",North America,Economy,
Pony Ma (馬化騰),1971-10-29,,Chinese,"Founded Tencent, creator of WeChat and major gaming company. Among Asia's wealthiest, shaped China's internet landscape.",East Asia,Economy,
Masayoshi Son (孫正義),1957-08-11,,Japanese-Korean,"Founded SoftBank, major investor in tech companies worldwide. Visionary but volatile investor, massive bets on AI and technology.",East Asia,Economy,
Deng Xiaoping (鄧小平),1904-08-22,1997-02-19,Chinese,"Paramount leader who opened China to market reforms and foreign investment. ""To get rich is glorious"" - transformed China into economic powerhouse.",East Asia,Politics & Military,
Lee Kuan Yew,1923-09-16,2015-03-23,Singaporean,"Founding father of Singapore who transformed city-state from poverty to prosperity. Authoritarian but effective, model of developmental state.",East Asia,Politics & Military,
Yitzhak Rabin,1922-03-01,1995-11-04,Israeli,"Israeli Prime Minister who signed Oslo Accords seeking peace with Palestinians. Assassinated by Jewish extremist, symbol of peace efforts.",Middle East,Politics & Military,
Yasser Arafat,1929-08-24,2004-11-11,Palestinian,"Leader of PLO and Palestinian Authority. Symbol of Palestinian nationalism, controversial figure between terrorist and freedom fighter.",Middle East,Politics & Military,
Fidel Castro,1926-08-13,2016-11-25,Cuban,"Led Cuban Revolution, ruled Cuba for nearly 50 years. Communist leader who survived US attempts to overthrow him, polarizing legacy.",South America,Politics & Military,
Hugo Chávez,1954-07-28,2013-03-05,Venezuelan,"Venezuelan president who pursued socialist policies and challenged US influence in Latin America. Charismatic but divisive, economic crisis followed.",South America,Politics & Military,
Lech Wałęsa,1943-09-29,,Polish,"Solidarity movement leader who helped end communism in Poland. Electrician turned president, Nobel Peace Prize winner, symbol of peaceful revolution.",Europe,Politics & Military,
Vaclav Havel,1936-10-05,2011-12-18,Czech,"Playwright who became Czech president after Velvet Revolution. Intellectual leader of anti-communist movement, moral voice of post-Cold War Europe.",Europe,Politics & Military,
Shimon Peres,1923-08-02,2016-09-28,Israeli,"Israeli president and prime minister, key architect of Oslo peace process. Nobel Peace Prize winner, worked for Israeli-Palestinian reconciliation.",Middle East,Politics & Military,
Kofi Annan,1938-04-08,2018-08-18,Ghanaian,"UN Secretary-General (1997-2006) who promoted human rights and peacekeeping. Nobel Peace Prize winner, elegant diplomat from Africa.",Africa,Politics & Military,
Muhammad Yunus,1940-06-28,,Bangladeshi,"Founded Grameen Bank pioneering microfinance for poverty alleviation. Nobel Peace Prize winner, ""banker to the poor.""",South Asia,Economy,
Wangari Maathai,1940-04-01,2011-09-25,Kenyan,Environmental activist who founded Green Belt Movement planting millions of trees. First African woman to win Nobel Peace Prize.,Africa,Politics & Military,
Rigoberta Menchú,1959-01-09,,Guatemalan,Indigenous rights activist who documented violence against Guatemala's Maya people. Nobel Peace Prize winner at age 33.,South America,Politics & Military,
